Sr.No,Name,ProvinceName
1,Sofia,Sofia City
2,Plovdiv,Plovdiv Province
3,Varna,Varna Province
4,Burgas,Burgas Province
5,Ruse,Rousse Province
6,Stara Zagora,Stara Zagora Province
7,Pleven,Pleven Province
8,Sliven,Sliven Province
9,Dobrich,Dobrich Province
10,Pernik,Pernik Province
11,Shumen,Shumen Province
12,Haskovo,Haskovo Province
13,Yambol,Yambol Province
14,Pazardzhik,Pazardzhik Province
15,Blagoevgrad,Blagoevgrad Province
16,Veliko Tarnovo,Veliko Tarnovo Province
17,Vratsa,Vratsa Province
18,Gabrovo,Gabrovo Province
19,Asenovgrad,Plovdiv Province
20,Vidin,Vidin Province
21,Kazanlak,Stara Zagora Province
22,Kyustendil,Kyustendil Province
23,Kardzhali,Kardzhali Province
24,Montana,Montana Province
25,Dimitrovgrad,Haskovo Province
26,Targovishte,Targovishte Province
27,Lovech,Lovech Province
28,Silistra,Silistra Province
29,Dupnitsa,Kyustendil Province
30,Svishtov,Veliko Tarnovo Province
31,Razgrad,Razgrad Province
32,Gorna Oryahovitsa,Veliko Tarnovo Province
33,Smolyan,Smolyan Province
34,Petrich,Blagoevgrad Province
35,Sandanski,Blagoevgrad Province
36,Samokov,Sofia Province
37,Sevlievo,Gabrovo Province
38,Lom,Montana Province
39,Karlovo,Plovdiv Province
40,Velingrad,Pazardzhik Province
41,Nova Zagora,Sliven Province
42,Troyan,Lovech Province
43,Aytos,Burgas Province
44,Botevgrad,Sofia Province
45,Gotse Delchev,Blagoevgrad Province
46,Peshtera,Pazardzhik Province
47,Harmanli,Haskovo Province
48,Karnobat,Burgas Province
49,Svilengrad,Haskovo Province
50,Panagyurishte,Pazardzhik Province
51,Chirpan,Stara Zagora Province
52,Popovo,Targovishte Province
53,Rakovski,Plovdiv Province
54,Radomir,Pernik Province
55,Novi Iskar,Sofia City
56,Kozloduy,Vratsa Province
57,Parvomay,Plovdiv Province
58,Berkovitsa,Montana Province
59,Cherven Bryag,Pleven Province
60,Pomorie,Burgas Province
61,Ihtiman,Sofia Province
62,Radnevo,Stara Zagora Province
63,Provadiya,Varna Province
64,Novi Pazar,Shumen Province
65,Razlog,Blagoevgrad Province
66,Byala Slatina,Vratsa Province
67,Nesebar,Burgas Province
68,Balchik,Dobrich Province
69,Kostinbrod,Sofia Province
70,Stamboliyski,Plovdiv Province
71,Kavarna,Dobrich Province
72,Knezha,Pleven Province
73,Pavlikeni,Veliko Tarnovo Province
74,Mezdra,Vratsa Province
75,Etropole,Sofia Province
76,Levski,Pleven Province
77,Teteven,Lovech Province
78,Elhovo,Yambol Province
79,Bankya,Sofia City
80,Tryavna,Gabrovo Province
81,Lukovit,Lovech Province
82,Tutrakan,Silistra Province
83,Sredets,Burgas Province
84,Sopot,Plovdiv Province
85,Byala,Rousse Province
86,Veliki Preslav,Shumen Province
87,Isperih,Razgrad Province
88,Belene,Pleven Province
89,Omurtag,Targovishte Province
90,Bansko,Blagoevgrad Province
91,Krichim,Plovdiv Province
92,Galabovo,Stara Zagora Province
93,Devnya,Varna Province
94,Septemvri,Pazardzhik Province
95,Rakitovo,Pazardzhik Province
96,Lyaskovets,Veliko Tarnovo Province
97,Svoge,Sofia Province
98,Aksakovo,Varna Province
99,Kubrat,Razgrad Province
100,Dryanovo,Gabrovo Province
101,Beloslav,Varna Province
102,Pirdop,Sofia Province
103,Lyubimets,Haskovo Province
104,Momchilgrad,Kardzhali Province
105,Slivnitsa,Sofia Province
106,Hisarya,Plovdiv Province
107,Zlatograd,Smolyan Province
108,Kostenets,Sofia Province
109,Devin,Smolyan Province
110,General Toshevo,Dobrich Province
111,Simeonovgrad,Haskovo Province
112,Simitli,Blagoevgrad Province
113,Elin Pelin,Sofia Province
114,Dolni Chiflik,Varna Province
115,Tervel,Dobrich Province
